Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1990-02-01 00:00;1990-03-01 00:00;feb-90;4.3;Y
1990-03-01 00:00;1990-04-01 00:00;mar-90;4.8;Y
1990-04-01 00:00;1990-05-01 00:00;apr-90;7.4;Y
1990-05-01 00:00;1990-06-01 00:00;maj-90;12.1;Y
1990-06-01 00:00;1990-07-01 00:00;jun-90;15.5;Y
1990-07-01 00:00;1990-08-01 00:00;jul-90;16.1;Y
1990-08-01 00:00;1990-09-01 00:00;aug-90;17.4;Y
1990-09-01 00:00;1990-10-01 00:00;sep-90;10.5;Y
1990-10-01 00:00;1990-11-01 00:00;okt-90;7.7;Y
1990-11-01 00:00;1990-12-01 00:00;nov-90;2.0;Y
1990-12-01 00:00;1991-01-01 00:00;dec-90;1.4;Y
1991-01-01 00:00;1991-02-01 00:00;jan-91;0.1;Y
1991-02-01 00:00;1991-03-01 00:00;feb-91;-2.3;Y
1991-03-01 00:00;1991-04-01 00:00;mar-91;2.3;Y
1991-04-01 00:00;1991-05-01 00:00;apr-91;5.7;Y
1991-05-01 00:00;1991-06-01 00:00;maj-91;8.4;Y
1991-06-01 00:00;1991-07-01 00:00;jun-91;12.2;Y
1991-07-01 00:00;1991-08-01 00:00;jul-91;18.8;Y
1991-08-01 00:00;1991-09-01 00:00;aug-91;17.9;Y
1991-09-01 00:00;1991-10-01 00:00;sep-91;12.1;Y
1991-10-01 00:00;1991-11-01 00:00;okt-91;7.7;Y
1991-11-01 00:00;1991-12-01 00:00;nov-91;4.0;Y
1991-12-01 00:00;1992-01-01 00:00;dec-91;1.2;Y
1992-01-01 00:00;1992-02-01 00:00;jan-92;1.3;Y
1992-02-01 00:00;1992-03-01 00:00;feb-92;0.7;Y
1992-03-01 00:00;1992-04-01 00:00;mar-92;2.9;Y
1992-04-01 00:00;1992-05-01 00:00;apr-92;3.5;Y
1992-05-01 00:00;1992-06-01 00:00;maj-92;13.8;Y
