Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
2001-01-01 00:00;2001-02-01 00:00;jan-01;1.4;Y
2001-02-01 00:00;2001-03-01 00:00;feb-01;-1.4;Y
2001-03-01 00:00;2001-04-01 00:00;mar-01;0.5;Y
2001-04-01 00:00;2001-05-01 00:00;apr-01;5.8;Y
2001-05-01 00:00;2001-06-01 00:00;maj-01;12.1;Y
2001-06-01 00:00;2001-07-01 00:00;jun-01;14.0;Y
2001-07-01 00:00;2001-08-01 00:00;jul-01;18.4;Y
2001-08-01 00:00;2001-09-01 00:00;aug-01;17.2;Y
2001-09-01 00:00;2001-10-01 00:00;sep-01;12.9;Y
2001-10-01 00:00;2001-11-01 00:00;okt-01;11.8;Y
2001-11-01 00:00;2001-12-01 00:00;nov-01;4.4;Y
2001-12-01 00:00;2002-01-01 00:00;dec-01;-1.1;Y
2002-01-01 00:00;2002-02-01 00:00;jan-02;2.3;Y
2002-02-01 00:00;2002-03-01 00:00;feb-02;3.9;Y
2002-03-01 00:00;2002-04-01 00:00;mar-02;4.2;Y
2002-04-01 00:00;2002-05-01 00:00;apr-02;7.8;Y
2002-05-01 00:00;2002-06-01 00:00;maj-02;13.9;Y
2002-06-01 00:00;2002-07-01 00:00;jun-02;16.6;Y
2002-07-01 00:00;2002-08-01 00:00;jul-02;18.5;Y
2002-08-01 00:00;2002-09-01 00:00;aug-02;20.6;Y
