Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Lufttemperatur;Kvalitet
1975-01-01 00:00;1975-02-01 00:00;jan-75;-8.2;Y
1975-02-01 00:00;1975-03-01 00:00;feb-75;-3.4;Y
1975-03-01 00:00;1975-04-01 00:00;mar-75;-1.3;Y
1975-04-01 00:00;1975-05-01 00:00;apr-75;-0.1;Y
1975-05-01 00:00;1975-06-01 00:00;maj-75;7.9;Y
1975-06-01 00:00;1975-07-01 00:00;jun-75;11.8;Y
1975-07-01 00:00;1975-08-01 00:00;jul-75;15.2;Y
1975-08-01 00:00;1975-09-01 00:00;aug-75;13.3;Y
1975-09-01 00:00;1975-10-01 00:00;sep-75;9.9;Y
1975-10-01 00:00;1975-11-01 00:00;okt-75;3.9;Y
1975-11-01 00:00;1975-12-01 00:00;nov-75;-0.7;Y
1975-12-01 00:00;1976-01-01 00:00;dec-75;-7.4;Y
1976-01-01 00:00;1976-02-01 00:00;jan-76;-15.4;Y
1976-02-01 00:00;1976-03-01 00:00;feb-76;-8.0;Y
1976-03-01 00:00;1976-04-01 00:00;mar-76;-8.4;Y
1976-04-01 00:00;1976-05-01 00:00;apr-76;0.0;Y
1976-05-01 00:00;1976-06-01 00:00;maj-76;7.9;Y
1976-06-01 00:00;1976-07-01 00:00;jun-76;12.4;Y
1976-07-01 00:00;1976-08-01 00:00;jul-76;14.5;Y
1976-08-01 00:00;1976-09-01 00:00;aug-76;14.7;Y
1976-09-01 00:00;1976-10-01 00:00;sep-76;5.6;Y
1976-10-01 00:00;1976-11-01 00:00;okt-76;0.8;Y
1976-11-01 00:00;1976-12-01 00:00;nov-76;-3.7;Y
1976-12-01 00:00;1977-01-01 00:00;dec-76;-8.5;Y
1977-01-01 00:00;1977-02-01 00:00;jan-77;-10.0;Y
1977-02-01 00:00;1977-03-01 00:00;feb-77;-13.2;Y
1977-03-01 00:00;1977-04-01 00:00;mar-77;-4.0;Y
1977-04-01 00:00;1977-05-01 00:00;apr-77;-1.7;Y
1977-05-01 00:00;1977-06-01 00:00;maj-77;4.9;Y
1977-06-01 00:00;1977-07-01 00:00;jun-77;11.0;Y
1977-07-01 00:00;1977-08-01 00:00;jul-77;13.5;Y
1977-08-01 00:00;1977-09-01 00:00;aug-77;13.1;Y
1977-09-01 00:00;1977-10-01 00:00;sep-77;7.3;Y
1977-10-01 00:00;1977-11-01 00:00;okt-77;2.7;Y
1977-11-01 00:00;1977-12-01 00:00;nov-77;-3.5;Y
1977-12-01 00:00;1978-01-01 00:00;dec-77;-5.8;Y
